"MNO","Network Generation","Year","Number"
"Optus","3G","2018","7237"
"Optus","3G","2019","7615"
"Optus","3G","2020","7801"
"Optus","3G","2021","7893"
"Optus","3G","2022","8082"
"Optus","3G","2023","7700"
"Telstra","3G","2018","8984"
"Telstra","3G","2019","9144"
"Telstra","3G","2020","9245"
"Telstra","3G","2021","9305"
"Telstra","3G","2022","9254"
"Telstra","3G","2023","9147"
"TPG","3G","2018","5393"
"TPG","3G","2019","5579"
"TPG","3G","2020","5592"
"TPG","3G","2021","5587"
"TPG","3G","2022","5582"
"TPG","3G","2023","5565"
"Optus","4G","2018","6711"
"Optus","4G","2019","7295"
"Optus","4G","2020","7683"
"Optus","4G","2021","8011"
"Optus","4G","2022","8425"
"Optus","4G","2023","8684"
"Telstra","4G","2018","7620"
"Telstra","4G","2019","8606"
"Telstra","4G","2020","9241"
"Telstra","4G","2021","9691"
"Telstra","4G","2022","10015"
"Telstra","4G","2023","10503"
"TPG","4G","2018","5010"
"TPG","4G","2019","5288"
"TPG","4G","2020","5549"
"TPG","4G","2021","5781"
"TPG","4G","2022","5627"
"TPG","4G","2023","5665"
"Optus","5G","2018","0"
"Optus","5G","2019","0"
"Optus","5G","2020","426"
"Optus","5G","2021","1010"
"Optus","5G","2022","1932"
"Optus","5G","2023","2905"
"Telstra","5G","2018","0"
"Telstra","5G","2019","0"
"Telstra","5G","2020","797"
"Telstra","5G","2021","2695"
"Telstra","5G","2022","4071"
"Telstra","5G","2023","4559"
"TPG","5G","2018","0"
"TPG","5G","2019","0"
"TPG","5G","2020","0"
"TPG","5G","2021","163"
"TPG","5G","2022","1029"
"TPG","5G","2023","2063"
