"MNO","Year","Value"
"Optus & Telstra","2020","1,028"
"Optus ONLY","2020","2,095"
"Telstra ONLY","2020","6,787"
"TPG & Optus","2020","2,441"
"TPG & Telstra","2020","220"
"TPG ONLY","2020","598"
"TPG, Optus & Telstra","2020","2,416"
"Optus & Telstra","2021","1,070"
"Optus ONLY","2021","2,252"
"Telstra ONLY","2021","7,005"
"TPG & Optus","2021","2,446"
"TPG & Telstra","2021","221"
"TPG ONLY","2021","755"
"TPG, Optus & Telstra","2021","2,470"
"Optus & Telstra","2022","1,070"
"Optus ONLY","2022","2,252"
"Telstra ONLY","2022","7,005"
"TPG & Optus","2022","2,446"
"TPG & Telstra","2022","221"
"TPG ONLY","2022","755"
"TPG, Optus & Telstra","2022","2,470"
"Optus & Telstra","2023","1,154"
"Optus ONLY","2023","2,696"
"Telstra ONLY","2023","7,428"
"TPG & Optus","2023","2,459"
"TPG & Telstra","2023","208"
"TPG ONLY","2023","590"
"TPG, Optus & Telstra","2023","2,512"
