Year,MNO,Latitude,Longitude,UMTS900,UMTS2100,LTE700,LTE900,LTE1800,LTE2100,LTE2300,LTE2600
2018,Optus,-34.92556732,138.5986507,Y,Y,Y,,Y,Y,Y,Y
2018,Optus,-34.93382426,138.5984945,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.91062437,138.5951679,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.94171259,138.6321448,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89584112,138.6544638,Y,Y,Y,,Y,,Y,
2018,Optus,-34.862783,138.598994,Y,Y,Y,,,,Y,
2018,Optus,-34.82582486,138.5033942,Y,Y,Y,,,,Y,
2018,Optus,-34.880788,138.516995,Y,Y,Y,,,,Y,
2018,Optus,-34.93748252,138.5337667,Y,,,,,,,
2018,Optus,-34.99612807,138.5255266,Y,Y,Y,,,,Y,
2018,Optus,-35.00042211,138.6211337,Y,Y,Y,,,,Y,
2018,Optus,-34.835856,138.689257,Y,Y,Y,,,,Y,Y
2018,Optus,-34.750612,138.657361,Y,Y,Y,,,,Y,
2018,Optus,-34.7964901,138.5989978,Y,Y,Y,,Y,,Y,
2018,Optus,-35.07764052,138.5203212,Y,Y,Y,,Y,,Y,
2018,Optus,-35.075407,138.584162,Y,Y,Y,,Y,,Y,
2018,Optus,-34.62258487,138.7565214,Y,Y,Y,,Y,,,Y
2018,Optus,-34.9752967,138.5706315,Y,Y,Y,,Y,,Y,
2018,Optus,-35.18642181,138.5175294,Y,Y,Y,,Y,,Y,
2018,Optus,-35.55472268,138.6210614,Y,Y,Y,,,,,Y
2018,Optus,-34.71208334,138.6657099,Y,Y,Y,,Y,,Y,
2018,Optus,-35.218712,138.480884,Y,Y,Y,,Y,,,
2018,Optus,-37.8044377,140.7677722,Y,Y,Y,,,Y,,Y
2018,Optus,-34.4610495,138.9100289,Y,,Y,,Y,,,Y
2018,Optus,-35.0063224,138.739924,Y,Y,Y,,Y,,Y,
2018,Optus,-34.89660666,138.9739926,Y,,Y,,Y,,,Y
2018,Optus,-35.13504894,139.2159765,Y,Y,Y,,,,,Y
2018,Optus,-35.06818504,138.9200011,Y,Y,Y,,Y,,,Y
2018,Optus,-35.506797,138.646058,Y,Y,Y,,,,,Y
2018,Optus,-34.56260175,138.9859091,Y,,Y,,Y,,,
2018,Optus,-34.51152762,139.0383856,Y,Y,Y,,Y,,,Y
2018,Optus,-35.29563879,138.5759583,Y,,Y,,Y,,,
2018,Optus,-35.392877,138.618146,Y,,Y,,Y,,,
2018,Optus,-34.89761988,138.5441895,Y,Y,Y,,Y,,Y,
2018,Optus,-34.880515,138.4932,,Y,,,,,,
2018,Optus,-34.79287164,138.7357734,Y,Y,Y,,Y,,Y,
2018,Optus,-34.71846936,138.6711649,Y,Y,Y,,Y,,Y,Y
2018,Optus,-35.50509309,138.7712642,Y,Y,Y,,,,,Y
2018,Optus,-34.98086,138.511543,Y,Y,Y,,Y,,Y,Y
2018,Optus,-34.96912815,138.6076911,Y,Y,Y,,Y,,Y,
2018,Optus,-34.92304178,138.6390382,Y,Y,,,Y,,,
2018,Optus,-34.84976,138.632345,Y,Y,Y,,Y,,Y,
2018,Optus,-33.872497,138.650686,Y,,Y,,,,,
2018,Optus,-34.70307357,135.8267845,Y,Y,Y,,,Y,,Y
2018,Optus,-32.99889666,137.5227738,Y,Y,Y,,,Y,,Y
2018,Optus,-32.694913,137.563475,Y,,Y,,,,,
2018,Optus,-32.508869,137.799447,Y,Y,Y,,,,,Y
2018,Optus,-32.83083343,137.9793184,Y,,Y,,,,,
2018,Optus,-33.18211391,138.0126525,Y,Y,Y,,,Y,,Y
2018,Optus,-33.44574856,138.2072196,Y,,Y,,,,,
2018,Optus,-33.90606211,138.1272066,Y,,Y,,,,,
2018,Optus,-34.256662,138.178188,Y,,Y,,,,,
2018,Optus,-33.991186,137.678028,Y,Y,Y,,,,,Y
2018,Optus,-35.502749,139.770665,Y,,Y,,,,,
2018,Optus,-35.775892,140.0116175,Y,,Y,,,,,
2018,Optus,-36.03459698,140.3274381,Y,,Y,,,,,
2018,Optus,-36.310667,140.757082,Y,Y,Y,,,,,Y
2018,Optus,-36.6065,140.517467,Y,,Y,,,,,
2018,Optus,-36.97755214,140.7688352,Y,Y,Y,,,,,Y
2018,Optus,-37.350593,140.854051,Y,Y,Y,,,Y,,Y
2018,Optus,-37.84539161,140.7833536,Y,Y,Y,,,Y,,Y
2018,Optus,-37.479469,140.05739,Y,,Y,,,,,Y
2018,Optus,-36.83386259,139.8581402,Y,Y,Y,,,,,Y
2018,Optus,-34.40489794,139.1943361,Y,,Y,,Y,,,
2018,Optus,-34.192462,139.930647,Y,Y,Y,,,,,
2018,Optus,-34.17807033,140.77964,Y,Y,Y,,,Y,,Y
2018,Optus,-34.442578,140.582118,Y,Y,Y,,,,,Y
2018,Optus,-33.596228,137.941817,Y,Y,Y,,,,,Y
2018,Optus,-31.97609125,141.4532067,Y,Y,Y,,Y,,,
